query_id,topic,question,variant,target_doc,reader_hint,config_axis,recovery_axis,flow_axis
Q01,request timeout,2.x 버전에서 request timeout 옵션 문서는 어디를 봐야 하나요?,direct_name,sdk_v2_request_timeout,문서명과 질문어가 거의 일치해 기본 검색 품질을 확인하는 기준 질문,0.89,0.19,0.10
Q02,request timeout,SDK 2.x에서 응답 대기 시간을 조정하려면 어떤 설정 문서를 찾아야 하나요?,paraphrase,sdk_v2_request_timeout,timeout이라는 단어를 쓰지 않아도 같은 의미를 찾아야 하는 표현 바꾼 질문,0.90,0.18,0.10
Q03,request timeout,연결이 오래 걸릴 때 1.x 안내가 아니라 2.x timeout 안내를 보고 싶습니다.,boundary_wording,sdk_v2_request_timeout,1.x 문서가 더 가깝게 보일 수 있어 버전 조건을 함께 봐야 하는 질문,0.91,0.17,0.10
Q04,retry backoff,2.x 버전에서 retry backoff 기본값 문서는 어디를 봐야 하나요?,direct_name,sdk_v2_retry_backoff,문서명 그대로 묻기 때문에 색인 벡터가 정상 배치됐는지 확인하기 쉽다.,0.37,0.93,0.09
Q05,retry backoff,SDK 2.x에서 재시도 간격이 어떻게 늘어나는지 설명한 문서를 찾고 싶습니다.,paraphrase,sdk_v2_retry_backoff,backoff를 한국어 설명으로 바꾼 질문이라 의미 검색 민감도를 본다.,0.38,0.92,0.09
Q06,retry backoff,재시도 정책을 보려는데 오래된 backoff 가이드가 아니라 2.x 기준이 필요합니다.,boundary_wording,sdk_v2_retry_backoff,오래된 가이드가 후보에 섞이기 쉬워 현재 버전 우선순위가 중요하다.,0.39,0.91,0.09
Q07,auth refresh flow,2.x 버전에서 인증 토큰 갱신 흐름 문서는 어디를 봐야 하나요?,direct_name,sdk_v2_auth_refresh_flow,핵심 용어가 직접 들어가 인증 갱신 문서의 기본 검색 성공 여부를 확인한다.,0.29,0.21,0.95
Q08,auth refresh flow,SDK 2.x에서 만료된 인증 값을 새로 받는 절차를 설명한 문서는 무엇인가요?,paraphrase,sdk_v2_auth_refresh_flow,토큰 갱신을 생활 언어로 바꿔도 같은 문서를 찾는지 본다.,0.30,0.20,0.95
Q09,auth refresh flow,로그인 유지 문제가 있는데 1.x 인증 안내 말고 2.x 갱신 흐름을 찾아야 합니다.,boundary_wording,sdk_v2_auth_refresh_flow,1.x 인증 안내가 의미상 가까워도 현재 갱신 흐름을 우선해야 하는 경계 질문,0.31,0.19,0.95
Q10,billing invoice,2.x 버전에서 청구서 invoice 조회 문서는 어디를 봐야 하나요?,direct_name,sdk_v2_billing_invoice,청구서와 invoice가 함께 있어 기준 문서가 바로 올라와야 하는 질문,0.75,0.52,0.16
Q11,billing invoice,SDK 2.x에서 결제 청구 내역을 가져오는 방법은 어느 문서에 있나요?,paraphrase,sdk_v2_billing_invoice,invoice 대신 청구 내역으로 표현해도 같은 업무 문서를 찾아야 한다.,0.76,0.51,0.16
Q12,billing invoice,invoice 조회가 실패하는데 예전 결제 문서가 아니라 2.x 청구 문서를 확인하고 싶습니다.,boundary_wording,sdk_v2_billing_invoice,예전 결제 문서가 단어상 가까워도 2.x 청구 문서를 선택해야 하는 질문,0.77,0.50,0.16
Q13,webhook signature,2.x 버전에서 webhook signature 검증 문서는 어디를 봐야 하나요?,direct_name,sdk_v2_webhook_signature,webhook signature가 직접 들어가 기준 문서의 기본 검색 순위를 본다.,0.21,0.71,0.62
